Model,Average,ARC (25-shot),HellaSwag (10-shot),MMLU (5-shot),TruthfulQA (0-shot),Parameters,URL
nomic-ai/gpt4all-j,46.2,41.2,64.5,33.3,45.6,0.0,https://huggingface.co/nomic-ai/gpt4all-j
EleutherAI/gpt-neox-20b,45.9,45.2,73.4,33.3,31.7,16.666666666666664,https://huggingface.co/EleutherAI/gpt-neox-20b
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,45.7,44.4,71.3,34.0,33.2,5.833333333333333,https://huggingface.co/togethercomputer/RedPajama-INCITE-Base-7B-v0.1
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,45.6,45.6,68.5,30.6,37.8,10.0,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5
databricks/dolly-v2-12b,44.9,41.2,72.3,31.7,34.3,10.0,https://huggingface.co/databricks/dolly-v2-12b
Pirr/pythia-13b-deduped-green_devil,44.6,42.6,68.8,31.6,35.5,10.833333333333334,https://huggingface.co/Pirr/pythia-13b-deduped-green_devil
databricks/dolly-v2-7b,44.4,43.7,69.3,30.2,34.5,5.833333333333333,https://huggingface.co/databricks/dolly-v2-7b
EleutherAI/gpt-j-6b,44.3,41.4,67.6,32.3,36.0,5.0,https://huggingface.co/EleutherAI/gpt-j-6b
facebook/opt-13b,44.0,40.5,71.3,30.4,34.0,10.833333333333334,https://huggingface.co/facebook/opt-13b
KoboldAI/OPT-13B-Nerybus-Mix,43.8,40.2,70.7,30.1,34.4,10.833333333333334,https://huggingface.co/KoboldAI/OPT-13B-Nerybus-Mix
togethercomputer/RedPajama-INCITE-Base-3B-v1,42.2,40.2,64.7,30.6,33.2,2.5,https://huggingface.co/togethercomputer/RedPajama-INCITE-Base-3B-v1
databricks/dolly-v2-3b,42.1,39.8,65.2,29.7,33.7,2.5,https://huggingface.co/databricks/dolly-v2-3b
GeorgiaTechResearchInstitute/galactica-6.7b-evol-instruct-70k,42.0,42.6,49.3,34.1,42.1,5.583333333333333,https://huggingface.co/GeorgiaTechResearchInstitute/galactica-6.7b-evol-instruct-70k
openlm-research/open_llama_7b_700bt_preview,41.2,35.0,61.9,30.3,37.8,5.833333333333333,https://huggingface.co/openlm-research/open_llama_7b_700bt_preview
Writer/camel-5b-hf,41.1,35.2,57.6,30.8,40.7,4.166666666666666,https://huggingface.co/Writer/camel-5b-hf
openlm-research/open_llama_7b_400bt_preview,40.0,33.3,59.1,29.8,37.9,5.833333333333333,https://huggingface.co/openlm-research/open_llama_7b_400bt_preview
HuggingFaceH4/starchat-alpha,39.8,31.7,49.4,34.4,43.7,0.0,https://huggingface.co/HuggingFaceH4/starchat-alpha
Salesforce/codegen-16B-multi,39.2,33.6,51.2,28.9,43.3,13.333333333333334,https://huggingface.co/Salesforce/codegen-16B-multi
pythainlp/wangchanglm-7.5B-sft-enth,38.9,33.8,59.1,28.0,34.6,6.25,https://huggingface.co/pythainlp/wangchanglm-7.5B-sft-enth
openlm-research/open_llama_3b_350bt_preview,38.8,33.6,54.7,29.7,37.4,2.5,https://huggingface.co/openlm-research/open_llama_3b_350bt_preview
stabilityai/stablelm-tuned-alpha-7b,38.3,31.9,53.6,27.4,40.2,5.833333333333333,https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b
hakurei/lotus-12B,37.8,30.9,52.7,27.5,40.1,10.0,https://huggingface.co/hakurei/lotus-12B
facebook/opt-1.3b,37.7,29.6,54.6,27.7,38.7,1.0833333333333335,https://huggingface.co/facebook/opt-1.3b
gpt2-xl,36.8,30.3,51.4,26.9,38.5,0.0,
aisquared/dlite-v2-774m,35.9,30.0,47.7,25.9,40.0,0.645,https://huggingface.co/aisquared/dlite-v2-774m
gpt2-large,34.0,25.9,45.6,25.6,38.7,0.0,
gpt2-medium,33.8,27.2,40.2,27.0,40.7,0.0,
cerebras/Cerebras-GPT-1.3B,33.4,26.1,38.5,26.2,42.7,1.0833333333333335,https://huggingface.co/cerebras/Cerebras-GPT-1.3B
xhyi/PT_GPTNEO350_ATG,30.9,22.5,35.3,21.7,37.3,0.0,https://huggingface.co/xhyi/PT_GPTNEO350_ATG
chatmundo/gpt2-small-portuguese,29.2,22.5,36.1,21.9,37.7,0.0,https://huggingface.co/chatmundo/gpt2-small-portuguese
microsoft/MiniLM-L6-H384-uncased,25.9,19.9,34.1,17.5,36.3,0.0,https://huggingface.co/microsoft/MiniLM-L6-H384-uncased
microsoft/MiniLM-L3-H384-uncased,22.7,17.5,31.1,15.5,32.7,0.0,https://huggingface.co/microsoft/MiniLM-L3-H384-uncased
