Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
openaccess-ai-collective/manticore-13b,57.5,53.3,79.4,48.8,48.4,19.696969696969695,https://huggingface.co/openaccess-ai-collective/manticore-13b
openaccess-ai-collective/minotaur-13b,56.6,50.7,77.0,49.5,49.2,19.696969696969695,https://huggingface.co/openaccess-ai-collective/minotaur-13b
TheBloke/wizard-vicuna-13B-HF,56.0,50.2,77.0,47.2,49.8,19.696969696969695,https://huggingface.co/TheBloke/wizard-vicuna-13B-HF
junelee/wizard-vicuna-13b,56.0,50.2,77.0,47.2,49.8,19.696969696969695,https://huggingface.co/junelee/wizard-vicuna-13b
project-baize/baize-v2-13b,55.8,50.2,77.1,47.6,48.3,19.696969696969695,https://huggingface.co/project-baize/baize-v2-13b
xzuyn/Alpacino-SuperCOT-13B,55.5,52.5,79.4,45.3,44.7,19.696969696969695,https://huggingface.co/xzuyn/Alpacino-SuperCOT-13B
pillowtalks-ai/delta13b,55.4,47.4,78.0,46.2,49.8,19.696969696969695,https://huggingface.co/pillowtalks-ai/delta13b
TheBloke/vicuna-13B-1.1-HF,55.4,47.4,78.0,46.2,49.8,19.696969696969695,https://huggingface.co/TheBloke/vicuna-13B-1.1-HF
PocketDoc/Dans-PileOfSets-Mk1-llama-13b-merged,55.2,53.2,79.7,46.6,41.4,19.696969696969695,https://huggingface.co/PocketDoc/Dans-PileOfSets-Mk1-llama-13b-merged
ausboss/llama-13b-supercot,55.2,52.0,79.4,41.7,47.6,19.696969696969695,https://huggingface.co/ausboss/llama-13b-supercot
eachadea/vicuna-13b,54.7,45.1,77.8,44.7,51.3,19.696969696969695,https://huggingface.co/eachadea/vicuna-13b
llama-13b,53.7,50.8,78.9,45.2,39.9,19.696969696969695,
eachadea/vicuna-7b-1.1,53.4,47.0,75.2,42.6,48.9,10.606060606060606,https://huggingface.co/eachadea/vicuna-7b-1.1
wahaha1987/llama_7b_sharegpt94k_fastchat,52.9,47.4,74.7,44.0,45.4,10.606060606060606,https://huggingface.co/wahaha1987/llama_7b_sharegpt94k_fastchat
xzuyn/MedicWizard-7B,52.5,49.1,76.4,43.1,41.3,10.606060606060606,https://huggingface.co/xzuyn/MedicWizard-7B
TehVenom/Pygmalion-Vicuna-1.1-7b,52.0,47.4,76.1,42.5,42.0,10.606060606060606,https://huggingface.co/TehVenom/Pygmalion-Vicuna-1.1-7b
medalpaca/medalpaca-7b,51.7,49.7,78.6,38.8,39.6,10.606060606060606,https://huggingface.co/medalpaca/medalpaca-7b
LLMs/AlpacaGPT4-7B-elina,51.5,48.8,76.6,39.5,41.2,10.606060606060606,https://huggingface.co/LLMs/AlpacaGPT4-7B-elina
TheBloke/wizardLM-7B-HF,51.2,44.7,73.4,41.2,45.4,10.606060606060606,https://huggingface.co/TheBloke/wizardLM-7B-HF
notstoic/PygmalionCoT-7b,51.1,47.0,74.8,34.5,47.9,10.606060606060606,https://huggingface.co/notstoic/PygmalionCoT-7b
Neko-Institute-of-Science/metharme-7b,50.2,47.0,75.9,39.6,38.5,10.606060606060606,https://huggingface.co/Neko-Institute-of-Science/metharme-7b
mosaicml/mpt-7b-chat,49.8,46.8,75.5,36.9,40.1,10.606060606060606,https://huggingface.co/mosaicml/mpt-7b-chat
jondurbin/airoboros-7b,49.0,47.8,75.6,29.1,43.5,10.606060606060606,https://huggingface.co/jondurbin/airoboros-7b
tiiuae/falcon-7b,48.7,48.1,78.1,34.4,34.3,10.606060606060606,https://huggingface.co/tiiuae/falcon-7b
mosaicml/mpt-7b-instruct,48.7,50.2,77.8,31.9,35.0,10.606060606060606,https://huggingface.co/mosaicml/mpt-7b-instruct
llama-7b,48.6,46.6,75.6,38.3,34.1,10.606060606060606,
THUDM/chatglm2-6b,48.2,38.8,59.0,46.7,48.1,9.090909090909092,https://huggingface.co/THUDM/chatglm2-6b
baichuan-inc/Baichuan-7B,47.4,40.7,69.0,43.6,36.2,10.606060606060606,https://huggingface.co/baichuan-inc/Baichuan-7B
shibing624/chinese-llama-plus-13b-hf,47.3,44.2,70.4,33.5,41.1,19.696969696969695,https://huggingface.co/shibing624/chinese-llama-plus-13b-hf
ehartford/WizardLM-7B-Uncensored,47.3,43.8,71.1,32.9,41.4,10.606060606060606,https://huggingface.co/ehartford/WizardLM-7B-Uncensored
tiiuae/falcon-7b-instruct,46.6,45.8,70.8,25.6,44.1,10.606060606060606,https://huggingface.co/tiiuae/falcon-7b-instruct
mosaicml/mpt-7b,46.6,47.4,77.4,28.2,33.6,10.606060606060606,https://huggingface.co/mosaicml/mpt-7b
openlm-research/open_llama_13b,46.4,40.7,67.4,39.1,38.5,19.696969696969695,https://huggingface.co/openlm-research/open_llama_13b
Salesforce/codegen-16B-nl,46.3,46.8,71.8,32.5,34.0,24.242424242424242,https://huggingface.co/Salesforce/codegen-16B-nl
dvruette/oasst-gpt-neox-20b-1000-steps,46.3,49.2,74.4,25.7,35.9,30.303030303030305,https://huggingface.co/dvruette/oasst-gpt-neox-20b-1000-steps
facebook/opt-66b,46.2,46.3,76.2,27.0,35.4,100.0,https://huggingface.co/facebook/opt-66b
togethercomputer/RedPajama-INCITE-7B-Base,46.2,46.2,71.7,33.9,33.0,10.606060606060606,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Base
EleutherAI/gpt-neox-20b,46.0,45.7,73.5,33.1,31.6,30.303030303030305,https://huggingface.co/EleutherAI/gpt-neox-20b
h2oai/h2ogpt-oasst1-512-20b,45.8,47.1,72.8,26.2,37.3,30.303030303030305,https://huggingface.co/h2oai/h2ogpt-oasst1-512-20b
mosaicml/mpt-7b-storywriter,45.7,45.7,74.2,26.7,36.1,10.606060606060606,https://huggingface.co/mosaicml/mpt-7b-storywriter
h2oai/h2ogpt-gm-oasst1-en-1024-12b,45.1,43.1,69.7,29.7,37.9,18.181818181818183,https://huggingface.co/h2oai/h2ogpt-gm-oasst1-en-1024-12b
digitous/Javelin-GPTJ,45.0,42.7,70.5,30.9,36.1,0.0,https://huggingface.co/digitous/Javelin-GPTJ
databricks/dolly-v2-12b,44.9,42.2,72.1,31.0,34.3,18.181818181818183,https://huggingface.co/databricks/dolly-v2-12b
databricks/dolly-v2-7b,44.5,44.2,69.2,29.1,35.5,10.606060606060606,https://huggingface.co/databricks/dolly-v2-7b
Pirr/pythia-13b-deduped-green_devil,44.4,42.3,68.8,30.8,35.5,19.696969696969695,https://huggingface.co/Pirr/pythia-13b-deduped-green_devil
AlekseyKorshuk/chatml-pyg-v1,44.2,37.9,63.3,33.0,42.6,0.0,https://huggingface.co/AlekseyKorshuk/chatml-pyg-v1
EleutherAI/gpt-j-6b,44.0,41.4,67.6,31.0,36.0,9.090909090909092,https://huggingface.co/EleutherAI/gpt-j-6b
digitous/Javalion-R,44.0,41.7,68.0,31.9,34.4,0.0,https://huggingface.co/digitous/Javalion-R
PygmalionAI/pygmalion-6b,43.9,38.9,64.8,31.6,40.4,9.090909090909092,https://huggingface.co/PygmalionAI/pygmalion-6b
Fredithefish/ScarletPajama-3B-HF,43.1,39.8,65.0,30.0,37.6,4.545454545454546,https://huggingface.co/Fredithefish/ScarletPajama-3B-HF
openlm-research/open_llama_7b,42.1,37.7,63.3,32.8,34.7,10.606060606060606,https://huggingface.co/openlm-research/open_llama_7b
GeorgiaTechResearchInstitute/galactica-6.7b-evol-instruct-70k,41.9,42.6,49.3,33.6,42.1,10.151515151515152,https://huggingface.co/GeorgiaTechResearchInstitute/galactica-6.7b-evol-instruct-70k
ewof/koishi-instruct-3b,40.6,40.7,64.3,25.9,31.6,4.545454545454546,https://huggingface.co/ewof/koishi-instruct-3b
openlm-research/open_llama_3b,40.0,35.1,59.1,29.6,36.3,4.545454545454546,https://huggingface.co/openlm-research/open_llama_3b
openlm-research/open_llama_7b_700bt_preview,40.0,35.1,61.8,25.4,37.8,10.606060606060606,https://huggingface.co/openlm-research/open_llama_7b_700bt_preview
NbAiLab/nb-gpt-j-6B-alpaca,40.0,36.9,57.5,27.5,38.0,9.090909090909092,https://huggingface.co/NbAiLab/nb-gpt-j-6B-alpaca
Writer/camel-5b-hf,39.9,35.2,57.6,26.1,40.7,7.575757575757576,https://huggingface.co/Writer/camel-5b-hf
pythainlp/wangchanglm-7.5B-sft-en-sharded,38.8,34.4,59.8,26.6,34.2,11.363636363636363,https://huggingface.co/pythainlp/wangchanglm-7.5B-sft-en-sharded
pythainlp/wangchanglm-7.5B-sft-enth,38.6,33.8,59.0,26.9,34.6,11.363636363636363,https://huggingface.co/pythainlp/wangchanglm-7.5B-sft-enth
Writer/palmyra-base,37.9,31.8,55.4,27.0,37.5,0.0,https://huggingface.co/Writer/palmyra-base
facebook/xglm-4.5B,37.7,31.5,57.9,25.6,35.8,6.8181818181818175,https://huggingface.co/facebook/xglm-4.5B
aisquared/dlite-v2-1_5b,37.7,32.6,53.9,25.6,38.8,7.575757575757576,https://huggingface.co/aisquared/dlite-v2-1_5b
hakurei/lotus-12B,37.5,30.7,52.7,26.4,40.1,18.181818181818183,https://huggingface.co/hakurei/lotus-12B
facebook/opt-1.3b,37.3,29.5,54.5,26.6,38.7,1.9696969696969695,https://huggingface.co/facebook/opt-1.3b
lxe/Cerebras-GPT-2.7B-Alpaca-SP,36.4,30.7,48.9,25.9,40.2,4.090909090909091,https://huggingface.co/lxe/Cerebras-GPT-2.7B-Alpaca-SP
gpt2-xl,36.4,30.3,51.4,25.6,38.5,0.0,
aisquared/dlite-v2-774m,35.8,30.1,47.7,25.3,40.0,1.1727272727272726,https://huggingface.co/aisquared/dlite-v2-774m
Rachneet/gpt2-xl-alpaca,34.3,27.0,43.8,26.9,39.4,0.0,https://huggingface.co/Rachneet/gpt2-xl-alpaca
gpt2-large,33.7,25.9,45.6,24.5,38.7,0.0,
aisquared/dlite-v2-355m,33.6,28.2,40.5,26.8,38.7,0.5378787878787878,https://huggingface.co/aisquared/dlite-v2-355m
gpt2-medium,33.3,27.2,40.2,25.1,40.7,0.0,
facebook/xglm-1.7B,33.1,25.5,45.6,24.1,37.3,2.5757575757575757,https://huggingface.co/facebook/xglm-1.7B
cerebras/Cerebras-GPT-1.3B,33.0,26.1,38.5,24.6,42.7,1.9696969696969695,https://huggingface.co/cerebras/Cerebras-GPT-1.3B
xhyi/PT_GPTNEO350_ATG,32.8,25.5,37.6,25.0,43.0,0.0,https://huggingface.co/xhyi/PT_GPTNEO350_ATG
aisquared/dlite-v1-355m,32.6,27.2,39.1,27.1,37.1,0.5378787878787878,https://huggingface.co/aisquared/dlite-v1-355m
PygmalionAI/pygmalion-350m,32.2,25.1,37.8,25.6,40.4,0.5303030303030304,https://huggingface.co/PygmalionAI/pygmalion-350m
MayaPH/FinOPT-Franklin,32.0,27.7,25.2,23.6,51.4,0.0,https://huggingface.co/MayaPH/FinOPT-Franklin
beomi/KoAlpaca-Polyglot-5.8B,32.0,27.6,35.6,25.2,39.7,8.787878787878787,https://huggingface.co/beomi/KoAlpaca-Polyglot-5.8B
microsoft/biogpt,31.8,25.0,29.5,24.8,48.1,0.0,https://huggingface.co/microsoft/biogpt
lmsys/vicuna-7b-delta-v1.1,31.6,29.5,26.2,22.3,48.6,10.606060606060606,https://huggingface.co/lmsys/vicuna-7b-delta-v1.1
MayaPH/FinOPT-Lincoln,31.5,26.3,25.7,22.9,51.1,0.0,https://huggingface.co/MayaPH/FinOPT-Lincoln
SebastianSchramm/Cerebras-GPT-111M-instruction,31.5,24.3,26.2,26.1,49.5,0.16818181818181818,https://huggingface.co/SebastianSchramm/Cerebras-GPT-111M-instruction
microsoft/CodeGPT-small-py,31.5,22.6,27.2,25.0,51.2,0.0,https://huggingface.co/microsoft/CodeGPT-small-py
KoboldAI/fairseq-dense-125M,31.5,24.1,34.2,24.0,43.7,0.1893939393939394,https://huggingface.co/KoboldAI/fairseq-dense-125M
WizardLM/WizardLM-13B-1.0,31.4,29.0,26.1,22.1,48.6,19.696969696969695,https://huggingface.co/WizardLM/WizardLM-13B-1.0
IDEA-CCNL/Ziya-LLaMA-13B-Pretrain-v1,31.4,28.9,26.1,22.3,48.5,19.696969696969695,https://huggingface.co/IDEA-CCNL/Ziya-LLaMA-13B-Pretrain-v1
victor123/WizardLM-13B-1.0,31.4,29.0,26.1,22.1,48.6,19.696969696969695,https://huggingface.co/victor123/WizardLM-13B-1.0
vicgalle/alpaca-7b,31.4,27.7,25.6,22.7,49.5,10.606060606060606,https://huggingface.co/vicgalle/alpaca-7b
EleutherAI/gpt-neo-125m,31.2,22.9,30.3,26.0,45.6,0.1893939393939394,https://huggingface.co/EleutherAI/gpt-neo-125m
EleutherAI/pythia-160m-deduped,31.1,24.1,31.5,25.0,43.8,0.24242424242424243,https://huggingface.co/EleutherAI/pythia-160m-deduped
MBZUAI/lamini-neo-125m,31.1,24.7,30.2,26.6,42.8,0.1893939393939394,https://huggingface.co/MBZUAI/lamini-neo-125m
concedo/OPT-19M-ChatSalad,31.0,24.4,25.2,23.1,51.4,0.028787878787878786,https://huggingface.co/concedo/OPT-19M-ChatSalad
cerebras/Cerebras-GPT-256M,31.0,22.0,29.0,26.8,46.0,0.3878787878787879,https://huggingface.co/cerebras/Cerebras-GPT-256M
BreadAi/gpt-YA-1-1_160M,30.9,23.0,27.3,26.3,47.0,0.24242424242424243,https://huggingface.co/BreadAi/gpt-YA-1-1_160M
ogimgio/gpt-neo-125m-neurallinguisticpioneers,30.9,22.4,30.3,25.2,45.7,0.1893939393939394,https://huggingface.co/ogimgio/gpt-neo-125m-neurallinguisticpioneers
ai-forever/rugpt3large_based_on_gpt2,30.8,22.6,32.8,24.5,43.4,0.0,https://huggingface.co/ai-forever/rugpt3large_based_on_gpt2
facebook/opt-125m,30.8,22.9,31.4,26.0,42.9,0.1893939393939394,https://huggingface.co/facebook/opt-125m
EleutherAI/pythia-160m,30.7,23.0,30.4,25.0,44.5,0.24242424242424243,https://huggingface.co/EleutherAI/pythia-160m
roneneldan/TinyStories-1M,30.7,23.5,25.2,24.6,49.4,0.0015151515151515152,https://huggingface.co/roneneldan/TinyStories-1M
concedo/Pythia-70M-ChatSalad,30.7,21.0,27.3,24.7,49.7,0.10606060606060608,https://huggingface.co/concedo/Pythia-70M-ChatSalad
Abe13/jgpt2-v1,30.6,23.4,30.4,25.9,42.8,0.0,https://huggingface.co/Abe13/jgpt2-v1
Locutusque/gpt2-conversational-or-qa,30.6,21.3,27.6,26.0,47.3,0.0,https://huggingface.co/Locutusque/gpt2-conversational-or-qa
anton-l/gpt-j-tiny-random,30.6,26.4,25.8,22.7,47.4,0.0,https://huggingface.co/anton-l/gpt-j-tiny-random
microsoft/DialoGPT-large,30.5,23.5,25.8,22.4,50.3,0.0,https://huggingface.co/microsoft/DialoGPT-large
EleutherAI/pythia-70m,30.5,21.8,27.2,26.2,46.7,0.10606060606060608,https://huggingface.co/EleutherAI/pythia-70m
euclaise/gpt-neox-122m-minipile-digits,30.5,20.6,27.0,25.3,49.2,0.18484848484848485,https://huggingface.co/euclaise/gpt-neox-122m-minipile-digits
huggingtweets/jerma985,30.4,21.7,30.9,25.2,44.0,0.0,https://huggingface.co/huggingtweets/jerma985
BreadAi/StoryPy,30.4,22.4,26.2,23.8,49.1,0.0,https://huggingface.co/BreadAi/StoryPy
roneneldan/TinyStories-33M,30.3,24.1,25.6,23.8,47.6,0.05,https://huggingface.co/roneneldan/TinyStories-33M
nthngdy/pythia-owt2-70m-50k,30.0,21.6,28.1,25.7,44.5,0.10606060606060608,https://huggingface.co/nthngdy/pythia-owt2-70m-50k
roneneldan/TinyStories-28M,30.0,22.7,25.8,23.5,48.1,0.04242424242424243,https://huggingface.co/roneneldan/TinyStories-28M
gpt2,30.0,21.9,31.6,25.6,40.7,0.0,
EleutherAI/pythia-70m-deduped,30.0,20.9,27.1,24.9,47.3,0.10606060606060608,https://huggingface.co/EleutherAI/pythia-70m-deduped
roneneldan/TinyStories-3M,30.0,21.9,25.6,25.0,47.3,0.004545454545454545,https://huggingface.co/roneneldan/TinyStories-3M
aisquared/dlite-v2-124m,29.9,24.0,31.1,25.4,39.0,0.1878787878787879,https://huggingface.co/aisquared/dlite-v2-124m
roneneldan/TinyStories-8M,29.9,24.7,25.0,23.3,46.5,0.012121212121212121,https://huggingface.co/roneneldan/TinyStories-8M
bert-base-uncased,29.8,25.1,24.6,23.1,46.5,0.0,
nthngdy/pythia-owt2-70m-100k,29.8,21.0,28.3,25.0,45.1,0.10606060606060608,https://huggingface.co/nthngdy/pythia-owt2-70m-100k
MBZUAI/lamini-cerebras-256m,29.8,21.9,28.7,26.7,41.8,0.3878787878787879,https://huggingface.co/MBZUAI/lamini-cerebras-256m
cerebras/Cerebras-GPT-111M,29.6,20.0,26.7,25.5,46.3,0.16818181818181818,https://huggingface.co/cerebras/Cerebras-GPT-111M
abhiramtirumala/DialoGPT-sarcastic-medium,29.6,23.3,25.9,23.4,46.0,0.0,https://huggingface.co/abhiramtirumala/DialoGPT-sarcastic-medium
MBZUAI/lamini-cerebras-111m,29.6,22.2,27.1,25.5,43.8,0.16818181818181818,https://huggingface.co/MBZUAI/lamini-cerebras-111m
distilgpt2,29.5,22.2,27.5,23.9,44.5,0.0,
Corianas/Quokka_256m,29.3,22.4,29.0,26.3,39.4,0.3878787878787879,https://huggingface.co/Corianas/Quokka_256m
vicgalle/gpt2-alpaca-gpt4,29.3,22.7,31.1,25.4,38.0,0.0,https://huggingface.co/vicgalle/gpt2-alpaca-gpt4
MBZUAI/LaMini-GPT-124M,29.2,24.1,30.8,25.2,36.6,0.1878787878787879,https://huggingface.co/MBZUAI/LaMini-GPT-124M
aisquared/dlite-v1-124m,29.2,23.9,31.2,25.4,36.4,0.1878787878787879,https://huggingface.co/aisquared/dlite-v1-124m
vicgalle/gpt2-alpaca,29.0,23.0,31.2,25.5,36.2,0.0,https://huggingface.co/vicgalle/gpt2-alpaca
Corianas/111m,28.8,19.6,26.8,24.9,43.8,0.16818181818181818,https://huggingface.co/Corianas/111m
openai-gpt,28.8,23.0,24.4,23.5,44.2,0.0,
