Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
elinas/chronos-70b-v2,69.14,68.1,86.5,68.3,53.7,100.0,https://huggingface.co/elinas/chronos-70b-v2
jondurbin/airoboros-65b-gpt4-1.4-peft,66.59,65.8,85.8,62.3,52.4,92.85714285714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.4-peft
jondurbin/airoboros-65b-gpt4-1.4,66.59,65.8,85.8,62.3,52.4,92.85714285714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.4
teknium/CollectiveCognition-v1.1-Mistral-7B,66.56,62.1,84.2,62.4,57.6,10.0,https://huggingface.co/teknium/CollectiveCognition-v1.1-Mistral-7B
Faradaylab/ARIA-70B-V3,66.55,63.9,86.2,64.8,51.3,100.0,https://huggingface.co/Faradaylab/ARIA-70B-V3
Weyaxi/SlimOpenOrca-Mistral-7B,66.54,63.0,83.5,62.3,57.4,10.0,https://huggingface.co/Weyaxi/SlimOpenOrca-Mistral-7B
jondurbin/airoboros-65b-gpt4-2.0,66.51,66.8,86.7,63.4,49.2,92.85714285714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-2.0
TheBloke/WizardLM-70B-V1.0-GPTQ,66.47,63.8,83.8,63.7,54.5,100.0,https://huggingface.co/TheBloke/WizardLM-70B-V1.0-GPTQ
TheBloke/WizardLM-70B-V1.0-GPTQ,66.47,63.8,83.8,63.7,54.5,100.0,https://huggingface.co/TheBloke/WizardLM-70B-V1.0-GPTQ
Enno-Ai/ennodata-13b-8bit-raw-15epoch,63.73,61.6,82.2,57.6,53.6,18.571428571428573,https://huggingface.co/Enno-Ai/ennodata-13b-8bit-raw-15epoch
IkariDev/Athena-v4,63.73,62.5,84.2,57.3,50.9,0.0,https://huggingface.co/IkariDev/Athena-v4
caisarl76/Mistral-7B-OpenOrca-Guanaco-accu16,63.73,59.7,83.1,61.3,50.8,10.0,https://huggingface.co/caisarl76/Mistral-7B-OpenOrca-Guanaco-accu16
Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,63.72,62.5,83.7,57.8,50.9,42.857142857142854,https://huggingface.co/Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload
boomerchan/magpie-13b,63.71,63.3,84.2,58.2,49.2,18.571428571428573,https://huggingface.co/boomerchan/magpie-13b
jondurbin/airoboros-33b-gpt4-m2.0,63.71,64.7,85.0,57.8,47.4,47.14285714285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-m2.0
Undi95/ReMM-Mistral-13B,63.69,62.2,83.8,55.4,53.3,18.571428571428573,https://huggingface.co/Undi95/ReMM-Mistral-13B
ehartford/samantha-mistral-instruct-7b,59.79,53.5,75.1,51.7,58.8,10.0,https://huggingface.co/ehartford/samantha-mistral-instruct-7b
Severian/ANIMA-Phi-Neptune-Mistral-7B-v1,59.78,52.9,74.7,52.2,59.4,10.0,https://huggingface.co/Severian/ANIMA-Phi-Neptune-Mistral-7B-v1
CHIH-HUNG/llama-2-13b-Open_Platypus_and_ccp_2.6w-3_epoch,59.78,58.6,82.6,55.8,42.1,18.571428571428573,https://huggingface.co/CHIH-HUNG/llama-2-13b-Open_Platypus_and_ccp_2.6w-3_epoch
FelixChao/llama2-13b-math1.2,59.77,56.9,80.7,53.2,48.2,18.571428571428573,https://huggingface.co/FelixChao/llama2-13b-math1.2
chargoddard/platypus2-22b-relora,59.76,57.7,82.4,55.3,43.6,31.428571428571427,https://huggingface.co/chargoddard/platypus2-22b-relora
chargoddard/platypus-2-22b-relora,59.76,57.7,82.4,55.3,43.6,31.428571428571427,https://huggingface.co/chargoddard/platypus-2-22b-relora
FelixChao/llama2-13b-math1.2,59.76,57.1,80.6,53.0,48.3,18.571428571428573,https://huggingface.co/FelixChao/llama2-13b-math1.2
zarakiquemparte/zarafusionex-1.2-l2-7b,59.76,56.7,79.2,51.9,51.3,10.0,https://huggingface.co/zarakiquemparte/zarafusionex-1.2-l2-7b
cerebras/Cerebras-GPT-111M,29.69,20.2,26.7,25.5,46.3,0.15857142857142859,https://huggingface.co/cerebras/Cerebras-GPT-111M
uberkie/metharme-1.3b-finetuned,29.66,20.6,28.0,25.3,44.8,1.8571428571428572,https://huggingface.co/uberkie/metharme-1.3b-finetuned
MBZUAI/lamini-cerebras-111m,29.63,22.1,27.1,25.5,43.8,0.15857142857142859,https://huggingface.co/MBZUAI/lamini-cerebras-111m
beomi/KoRWKV-6B,29.51,22.1,32.2,24.7,39.0,8.571428571428571,https://huggingface.co/beomi/KoRWKV-6B
psyche/kogpt,29.47,21.2,28.1,26.6,42.1,0.0,https://huggingface.co/psyche/kogpt
Corianas/Quokka_256m,29.41,22.9,28.8,26.5,39.5,0.3657142857142857,https://huggingface.co/Corianas/Quokka_256m
vicgalle/gpt2-alpaca-gpt4,29.39,22.6,31.2,25.8,38.0,0.0,https://huggingface.co/vicgalle/gpt2-alpaca-gpt4
aisquared/dlite-v1-124m,29.23,24.3,31.2,25.1,36.4,0.17714285714285713,https://huggingface.co/aisquared/dlite-v1-124m
Mikivis/xuanxuan,29.21,23.5,31.1,26.3,36.0,0.0,https://huggingface.co/Mikivis/xuanxuan
MBZUAI/LaMini-GPT-124M,29.18,24.3,30.8,25.0,36.6,0.17714285714285713,https://huggingface.co/MBZUAI/LaMini-GPT-124M
vicgalle/gpt2-alpaca,29.12,22.9,31.1,26.3,36.2,0.0,https://huggingface.co/vicgalle/gpt2-alpaca
Corianas/111m,28.85,19.7,26.7,25.3,43.7,0.15857142857142859,https://huggingface.co/Corianas/111m
huashiyiqike/testmodel,28.85,19.7,26.7,25.3,43.7,0.0,https://huggingface.co/huashiyiqike/testmodel
